row,store_code,business_name,address,phone,website,category,hours
4,Лавка Чорсу,Сырная Лавка,"Ташкент, улица Сакичмон, 1",+998785551515,https://www.instagram.com/sirnayalavka.uz,Cheese shop,07:00-19:00
6,Лавка Паркентский,Сырная Лавка,"Ташкент, улица Паркент, 74",+998785551515,https://www.instagram.com/sirnayalavka.uz,Cheese shop,08:00-20:00
29,Лавка Навруз,Сырная Лавка,"Ташкент, Мирзо-Улугбекский район, Гульсанам 7",+998785551515,https://www.instagram.com/sirnayalavka.uz,Cheese shop,08:00-21:00
