Store code,Business name,Address line 1,Address line 2,City,Region,Postal code,Country/Region,Primary phone,Website,Primary category
SL-004,Syrnaya Lavka,"Sakichmon 1, Tashkent",,Tashkent,Tashkent,,UZ,+998785551515,https://www.instagram.com/sirnayalavka.uz,Cheese shop
SL-006,Syrnaya Lavka,"Parkent 74, Tashkent",,Tashkent,Tashkent,,UZ,+998785551515,https://www.instagram.com/sirnayalavka.uz,Cheese shop
SL-029,Syrnaya Lavka,"Gulsanam 7, Mirzo-Ulugbek, Tashkent",,Tashkent,Tashkent,,UZ,+998785551515,https://www.instagram.com/sirnayalavka.uz,Cheese shop
