Store code,Business name,Address line 1,Address line 2,Locality,Administrative area,Postal code,Country / Region,Primary phone,Website,Primary category
SL-004,?????? ?????,"Ташкент, улица Сакичмон, 1",,Tashkent,,,UZ,+998 78 555 15 15,https://www.instagram.com/sirnayalavka.uz,Cheese shop
SL-006,?????? ?????,"Ташкент, улица Паркент, 74",,Tashkent,,,UZ,+998 78 555 15 15,https://www.instagram.com/sirnayalavka.uz,Cheese shop
SL-008,?????? ?????,"Ташкент, Большая кольцевая дорога, 17/10",,Tashkent,,,UZ,+998 78 555 15 15,https://www.instagram.com/sirnayalavka.uz,Cheese shop
SL-026,?????? ?????,"Ташкентская область, Чирчик, улица Шарафа Рашидова,14",,Tashkent,,,UZ,+998 78 555 15 15,https://www.instagram.com/sirnayalavka.uz,Cheese shop
SL-029,?????? ?????,"Ташкент, Мирзо-Улугбекский район, Гульсанам 7",,Tashkent,,,UZ,+998 78 555 15 15,https://www.instagram.com/sirnayalavka.uz,Cheese shop
SL-034,?????? ?????,"Ташкент, Сергелийский район, мсг Фарогатли",,Tashkent,,,UZ,+998 78 555 15 15,https://www.instagram.com/sirnayalavka.uz,Cheese shop
SL-035,?????? ?????,"Bukhara, Uzbekistan",,Bukhara,,,UZ,+998 78 555 15 15,https://www.instagram.com/sirnayalavka.uz,Cheese shop
